,11.33%,16.33%,21.33%,26.33%,31.33%,36.33%
repeat1,0.9565217391304348,0.9662162162162162,0.9728506787330317,0.9849624060150376,0.9665653495440729,0.9658119658119658
repeat2,0.9557522123893806,0.972972972972973,0.9754901960784313,0.9607843137254902,0.9616438356164384,0.9658119658119658
repeat3,0.9646017699115044,0.9575757575757575,0.9726027397260274,0.9646643109540636,0.9728915662650602,0.9438202247191011
repeat4,0.9615384615384616,0.9709302325581395,0.9530516431924883,0.9806949806949807,0.9529411764705882,0.9602649006622517
repeat5,0.9739130434782609,0.9662162162162162,0.9760765550239234,0.9645390070921985,0.9558823529411765,0.9580573951434879
mean,0.9624654452896084,0.9667822791078604,0.9700143625507804,0.9711290036963541,0.9619848561674672,0.9587532904297544
std,0.0073631824799666075,0.005935720290598527,0.009607460178413407,0.010898438577809083,0.008048015715518341,0.00901963806876422
