,True_mean,True_stderr,True_prop_1,True_prop_2,True_prop_3,True_prop_4,True_prop_5,False_mean,False_stderr,False_prop_1,False_prop_2,False_prop_3,False_prop_4,False_prop_5,Unknown_mean,Unknown_stderr,Unknown_prop_1,Unknown_prop_2,Unknown_prop_3,Unknown_prop_4,Unknown_prop_5
11.33%,0.9624654452896084,0.0032929153111881633,0.9565217391304348,0.9557522123893806,0.9646017699115044,0.9615384615384616,0.9739130434782609,0.03576464320596679,0.002834601190494793,0.043478260869565216,0.035398230088495575,0.035398230088495575,0.038461538461538464,0.02608695652173913,0.0017699115044247787,0.0017699115044247787,0.0,0.008849557522123894,0.0,0.0,0.0
16.33%,0.9667822791078604,0.0026545348130406223,0.9662162162162162,0.972972972972973,0.9575757575757575,0.9709302325581395,0.9662162162162162,0.02422528236481725,0.0036029706560640807,0.02027027027027027,0.013513513513513514,0.030303030303030304,0.023255813953488372,0.033783783783783786,0.00899243852732225,0.002661166850028862,0.013513513513513514,0.013513513513513514,0.012121212121212121,0.005813953488372093,0.0
21.33%,0.9700143625507804,0.004296586810010927,0.9728506787330317,0.9754901960784313,0.9726027397260274,0.9530516431924883,0.9760765550239234,0.021543836265428468,0.00544291338852873,0.013574660633484163,0.014705882352941176,0.0228310502283105,0.04225352112676056,0.014354066985645933,0.008441801183791103,0.0017107455199251108,0.013574660633484163,0.00980392156862745,0.0045662100456621,0.004694835680751174,0.009569377990430622
26.33%,0.9711290036963541,0.004873929901717448,0.9849624060150376,0.9607843137254902,0.9646643109540636,0.9806949806949807,0.9645390070921985,0.016184413167321176,0.0029083636067584184,0.007518796992481203,0.02287581699346405,0.0176678445229682,0.011583011583011582,0.02127659574468085,0.012686583136324685,0.0021419142628625945,0.007518796992481203,0.016339869281045753,0.0176678445229682,0.007722007722007722,0.014184397163120567
31.33%,0.9619848561674672,0.0035991820447771237,0.9665653495440729,0.9616438356164384,0.9728915662650602,0.9529411764705882,0.9558823529411765,0.02401708930070116,0.0016302471103170106,0.02735562310030395,0.024657534246575342,0.018072289156626505,0.026470588235294117,0.023529411764705882,0.013998054531831589,0.002951966816647774,0.0060790273556231,0.0136986301369863,0.009036144578313253,0.020588235294117647,0.020588235294117647
36.33%,0.9587532904297544,0.004033704770840344,0.9658119658119658,0.9658119658119658,0.9438202247191011,0.9602649006622517,0.9580573951434879,0.02062559981378346,0.0019600144562801486,0.017094017094017096,0.014957264957264958,0.024719101123595506,0.02207505518763797,0.024282560706401765,0.020621109756462093,0.002733179511823921,0.017094017094017096,0.019230769230769232,0.03146067415730337,0.017660044150110375,0.017660044150110375
