Treatment Index,Protected Pr(Y=1),Matched Mean Pr(Y=1),is_significant,comparison
0,0.547504564972857,0.9299984806218593,True,Lower than
11,0.8727742738651957,0.745680516260064,True,Higher than
13,0.8063718018745515,0.9236404924764311,True,Lower than
16,0.8059273068621645,0.855278151758651,True,Lower than
18,0.6632484535776292,0.9117327871993461,True,Lower than
19,0.8467775713470851,0.7654742799075541,True,Higher than
20,0.8756986645748571,0.8947375901167501,True,Lower than
21,0.8752170759826975,0.7545376732075287,True,Higher than
22,0.7945973341024213,0.92365542325573,True,Lower than
28,0.8704994887573257,0.9125903263234304,True,Lower than
29,0.7723263709425098,0.8593737987088808,True,Lower than
31,0.9651150975502836,0.8119662346255707,True,Higher than
35,0.9406359636740124,0.8869260224697761,True,Higher than
36,0.8459880690619258,0.7571431809352481,True,Higher than
38,0.9491474601723029,0.7327451036653757,True,Higher than
41,0.7820137927777857,0.8614119694248551,True,Lower than
43,0.7283566467382786,0.865974375431168,True,Lower than
44,0.7064579397547704,0.8586417717533463,True,Lower than
49,0.7559856504611263,0.8760933689532987,True,Lower than
50,0.3872770290823203,0.9336459536800369,True,Lower than
52,0.8460143679988987,0.90397797383307,True,Lower than
53,0.5133729659823434,0.917767833311068,True,Lower than
54,0.8848076913467379,0.7569068536849188,True,Higher than
56,0.6988757712208606,0.8475405264262483,True,Lower than
57,0.8199620870583829,0.836120041708975,True,Lower than
58,0.8819800450534148,0.9101364824981957,True,Lower than
61,0.9193282336229598,0.7592891054343596,True,Higher than
63,0.6756431027897175,0.8201674856243693,True,Lower than
68,0.6310448931334072,0.8363123048175963,True,Lower than
70,0.9044090808646431,0.9273317794923841,True,Lower than
71,0.9080362280723133,0.7598641121803648,True,Higher than
75,0.6792372487002704,0.9074999963698005,True,Lower than
79,0.801070190951834,0.8052976574496087,False,Equal
81,0.794525576405602,0.7614085140016278,True,Higher than
82,0.8241108031639947,0.7654475586669873,True,Higher than
83,0.7784161236239665,0.8383445379758302,True,Lower than
84,0.7324131026364695,0.9215790850411668,True,Lower than
85,0.871962014630959,0.8253369176973139,True,Higher than
86,0.822053176642477,0.7520714135955606,True,Higher than
87,0.7847195823315937,0.7638940444488469,True,Higher than
88,0.7888285295466622,0.785859925856235,False,Equal
89,0.7654897609138692,0.822724446660272,True,Lower than
90,0.7960200136703305,0.7680728264956739,True,Higher than
91,0.7875236349910676,0.7372083784801124,True,Higher than
92,0.8563253055470762,0.7935509695440228,True,Higher than
93,0.9624287356941941,0.7571555125297975,True,Higher than
94,0.7187962683446881,0.9272994963452007,True,Lower than
95,0.8072768961567252,0.9305619745419139,True,Lower than
97,0.9104324417107763,0.7525452727614799,True,Higher than
98,0.5760113085839826,0.9175938936293213,True,Lower than
101,0.8216687641184088,0.7651744674379611,True,Higher than
105,0.8586910629949095,0.9008680811251242,True,Lower than
106,0.60791080573871,0.9137328419492365,True,Lower than
108,0.6259227831357106,0.9393516034175501,True,Lower than
113,0.7814858673786201,0.8882902034604726,True,Lower than
114,0.9470721887631127,0.9375812947146117,True,Higher than
116,0.8705159436821612,0.7706419762812984,True,Higher than
117,0.9404112218340202,0.7507844991843605,True,Higher than
119,0.9558680718277895,0.7834313450661642,True,Higher than
120,0.87222933320464,0.7588803781405947,True,Higher than
121,0.9505865163759073,0.8985147728001768,True,Higher than
122,0.9353880728312968,0.7845454412637154,True,Higher than
123,0.6585222865487182,0.9314595088291501,True,Lower than
128,0.8156915588805015,0.928028259461356,True,Lower than
131,0.7994840733749095,0.8299348970767358,True,Lower than
132,0.6846619337192162,0.903823129316036,True,Lower than
135,0.7663580408579124,0.9070120677430775,True,Lower than
136,0.8208719207242217,0.7577581312302365,True,Higher than
137,0.8238331302504684,0.7878262075242596,True,Higher than
138,0.8651077859360805,0.8683921682679971,True,Lower than
140,0.8776313359768285,0.7470684338425846,True,Higher than
141,0.9295730900339794,0.9408633456723693,True,Lower than
142,0.9684524612033845,0.8298585280009557,True,Higher than
146,0.7217636966510526,0.7820365145836733,True,Lower than
147,0.9661173854488071,0.9166026063088257,True,Higher than
150,0.8927992301891304,0.7880091785159676,True,Higher than
151,0.8430808845396957,0.9013131858999427,True,Lower than
152,0.9636675153447015,0.9037131596920868,True,Higher than
153,0.7859072379072525,0.7473895082739095,True,Higher than
154,0.9088627210293,0.8325371975805228,True,Higher than
155,0.7539867171344306,0.7623561904946449,True,Lower than
156,0.8876995907302394,0.7617396756002135,True,Higher than
157,0.9077536708675122,0.7400143662779037,True,Higher than
158,0.7901907865475125,0.9156218709722893,True,Lower than
159,0.8881098789047011,0.8949964184649124,True,Lower than
160,0.8906612953027409,0.7700576809708806,True,Higher than
161,0.826450825928073,0.7517483188582331,True,Higher than
162,0.6282986767705274,0.8324622284688755,True,Lower than
164,0.8776313359768285,0.749358609358517,True,Higher than
165,0.8752010421590702,0.8273620244658316,True,Higher than
166,0.6847696327967133,0.8956549938229265,True,Lower than
167,0.9070914914322871,0.7375944315179662,True,Higher than
168,0.8996145109241263,0.7453913529026625,True,Higher than
169,0.8478729589553872,0.7269705225123766,True,Higher than
170,0.7993920170004885,0.900645792005143,True,Lower than
171,0.7957115931302576,0.899026315888332,True,Lower than
172,0.7721039630657788,0.7593895850955712,True,Higher than
173,0.9140206943682182,0.8039504123623388,True,Higher than
174,0.8733365266912417,0.7425281551779015,True,Higher than
180,0.891052288411838,0.860575802471065,True,Higher than
181,0.7536632900424032,0.8340206618880157,True,Lower than
184,0.5653971035841949,0.8119889313119185,True,Lower than
185,0.8482853879017344,0.8000590069055352,True,Higher than
186,0.770780566726818,0.9122719508351544,True,Lower than
187,0.8152296160729113,0.9206413110007259,True,Lower than
188,0.6764711594269441,0.8861820885027815,True,Lower than
196,0.7739673422257248,0.7922662157658447,True,Lower than
201,0.9112693408604686,0.7465013396802648,True,Higher than
202,0.8196114725496018,0.9332936286100733,True,Lower than
204,0.8337813614572438,0.893046165718535,True,Lower than
208,0.715502097875517,0.8496597079691245,True,Lower than
212,0.6805136649510707,0.9390887778161503,True,Lower than
213,0.8669557380095995,0.8152167956037111,True,Higher than
214,0.8915689142540268,0.8573102738348495,True,Higher than
216,0.721725292867792,0.844182710353227,True,Lower than
220,0.8983005620878588,0.7295740087443535,True,Higher than
221,0.8050258531908625,0.938497193363062,True,Lower than
223,0.6470986427299563,0.8810971597655098,True,Lower than
224,0.9059619561494917,0.7484909594328684,True,Higher than
225,0.7211842170676208,0.7970007657394969,True,Lower than
229,0.6625956918652774,0.8345581335747494,True,Lower than
231,0.955275335995393,0.7608372546165755,True,Higher than
234,0.8945804217592731,0.7592476176859125,True,Higher than
236,0.8691575290043507,0.8233969756062787,True,Higher than
237,0.4190958708758832,0.9261318541429645,True,Lower than
241,0.9616435308626663,0.9186993907814107,True,Higher than
243,0.959734289958659,0.9072938522832683,True,Higher than
244,0.9227239028518213,0.8217458827750604,True,Higher than
246,0.9700622607823809,0.7695180334286575,True,Higher than
247,0.9709510851722029,0.8324044970094175,True,Higher than
249,0.7619030965646395,0.9331649813696131,True,Lower than
250,0.782359134717668,0.7952925902713871,True,Lower than
251,0.5633396326373645,0.8396712847592508,True,Lower than
252,0.8370831582427586,0.8886100473386362,True,Lower than
259,0.8422724742768865,0.8846618628684818,True,Lower than
260,0.7773814344536172,0.7901801099952799,True,Lower than
261,0.8504380627357327,0.7616198300135476,True,Higher than
262,0.8718780550339724,0.7550517635246118,True,Higher than
263,0.7924225266958119,0.8243583375469413,True,Lower than
265,0.812529495345302,0.8629553184492158,True,Lower than
266,0.8846298523323726,0.721266931731799,True,Higher than
267,0.6318979989874498,0.9114785486587862,True,Lower than
268,0.8510197002492582,0.8113550567244716,True,Higher than
269,0.759875521334236,0.7753405049465256,True,Lower than
270,0.9616988166476196,0.7172865873671292,True,Higher than
271,0.8216980818175442,0.7253193536169904,True,Higher than
272,0.8689332862355849,0.7457214034423412,True,Higher than
273,0.7619341299225567,0.8295563820865479,True,Lower than
276,0.96597784104946,0.7465995691557096,True,Higher than
277,0.7962225853947877,0.7800507079710133,True,Higher than
278,0.7042469826905223,0.9414431499675737,True,Lower than
279,0.5795977038562032,0.9145584650105714,True,Lower than
280,0.8180797449663569,0.7313072758926338,True,Higher than
284,0.7054966180540129,0.8419897203138216,True,Lower than
287,0.8778756522360702,0.7573690806832145,True,Higher than
289,0.9430695212452996,0.8997836078554914,True,Higher than
292,0.8558398435446963,0.7532379096594127,True,Higher than
294,0.8161690067136207,0.7617398657903169,True,Higher than
295,0.9472823343226956,0.9023408713596679,True,Higher than
296,0.9260715051500085,0.740508783903712,True,Higher than
297,0.7810503408526112,0.9362904522163187,True,Lower than
298,0.8471224968023134,0.9210525726197614,True,Lower than
299,0.9658206625630332,0.9018870004057088,True,Higher than
302,0.8714328571338636,0.8247432232078856,True,Higher than
304,0.7100353618432924,0.9094467469782033,True,Lower than
305,0.8563744819564284,0.7406637743616318,True,Higher than
306,0.9086538135854476,0.7735060113550378,True,Higher than
308,0.8784573861336492,0.8887512713676337,True,Lower than
309,0.7923485556294477,0.876063231667644,True,Lower than
311,0.9286942904114975,0.9364238748841162,True,Lower than
312,0.8473922984856971,0.755084714298861,True,Higher than
313,0.8888407515123202,0.76635661922324,True,Higher than
314,0.7873243998443561,0.7969379731298334,True,Lower than
316,0.9483339686998411,0.7193220779223796,True,Higher than
318,0.8819800450534148,0.9104354982807663,True,Lower than
319,0.9241379891884036,0.9396560016800407,True,Lower than
320,0.9650655277542969,0.9182807538586094,True,Higher than
322,0.8615739696624722,0.8310721426734489,True,Higher than
325,0.819800490830635,0.8126852864667083,True,Higher than
328,0.6846577217754205,0.9246815214306277,True,Lower than
329,0.7455496299716816,0.8611752267936146,True,Lower than
331,0.9103237320558589,0.7267893182138069,True,Higher than
332,0.8973925421745481,0.7752685901523898,True,Higher than
333,0.889294199031925,0.742289700822297,True,Higher than
334,0.8619893429128,0.8451401607240389,True,Higher than
335,0.8638066274800679,0.8938712173296258,True,Lower than
336,0.8666450512324717,0.8333721185045201,True,Higher than
337,0.8404032337090497,0.8951210147521681,True,Lower than
338,0.926250658781625,0.7648444149502192,True,Higher than
339,0.845221019034505,0.7857864053459208,True,Higher than
340,0.9612023334330801,0.9097874451639711,True,Higher than
341,0.8919921112350538,0.7484721165991413,True,Higher than
345,0.911350027810935,0.8161959166389258,True,Higher than
346,0.9198865981913683,0.7177257472012445,True,Higher than
347,0.9563135831558527,0.9085176888789555,True,Higher than
348,0.8360523265248517,0.7582292900617873,True,Higher than
350,0.7839754983834425,0.7906346321206452,True,Lower than
351,0.926392533338413,0.7570446771602406,True,Higher than
355,0.8946808668350144,0.8976699837804581,True,Lower than
358,0.9204366873630954,0.7480346302822314,True,Higher than
359,0.650276980474961,0.9013812533224426,True,Lower than
360,0.8506560419990029,0.799365945534404,True,Higher than
361,0.914030094163006,0.7454964780926585,True,Higher than
362,0.7488838824643159,0.9379538462799795,True,Lower than
363,0.8498154688816983,0.7579261664935223,True,Higher than
364,0.9087202806724279,0.8521443369035362,True,Higher than
365,0.7676753546907327,0.766847048698124,False,Equal
367,0.9076714990180145,0.7298425514925541,True,Higher than
368,0.8816156916659361,0.7581720986724331,True,Higher than
369,0.9109412297646794,0.850597777516782,True,Higher than
372,0.7911130794782593,0.7783268535151615,True,Higher than
373,0.9439791288261067,0.766102351052213,True,Higher than
374,0.6829992829885575,0.8060263777124946,True,Lower than
375,0.9598653481614517,0.731575692575644,True,Higher than
376,0.8316999254060912,0.7618863038106027,True,Higher than
377,0.9108708495374738,0.7502867811244038,True,Higher than
380,0.8391224395675942,0.8975716494250006,True,Lower than
383,0.8498154688816983,0.7622149417839963,True,Higher than
384,0.6487134816044815,0.9242414542254729,True,Lower than
387,0.9408918538565904,0.8154626396472331,True,Higher than
388,0.9561440962809883,0.7880135209756012,True,Higher than
389,0.7378911135512858,0.9207052921638089,True,Lower than
395,0.6621422611582399,0.7609874810840804,True,Lower than
397,0.8070074394607448,0.9241292646531307,True,Lower than
399,0.803445194728332,0.8200084444471147,True,Lower than
400,0.9005840867806069,0.7994364671341035,True,Higher than
401,0.616192135485557,0.9381672990653478,True,Lower than
402,0.7530717056266167,0.9252517516343266,True,Lower than
403,0.8714375286661038,0.8277854259251655,True,Higher than
405,0.7199705436642043,0.7498161715740765,True,Lower than
407,0.9398440953958699,0.9246904501325984,True,Higher than
408,0.7481201224170867,0.7338401575264278,True,Higher than
411,0.8627341832771769,0.8832969605113825,True,Lower than
412,0.7111702099191176,0.7940715526478548,True,Lower than
416,0.8852680683810997,0.932977688433616,True,Lower than
417,0.780804674896076,0.7959745195111774,True,Lower than
420,0.898997407291739,0.836136222752024,True,Higher than
421,0.8025900784034647,0.8253267837818739,True,Lower than
422,0.9290878869998868,0.7848266028029974,True,Higher than
423,0.7355820015128756,0.9066729328796928,True,Lower than
425,0.8043455813808436,0.7546712204833216,True,Higher than
427,0.66961842771614,0.9126776302790978,True,Lower than
428,0.8768396783238638,0.9018611926065004,True,Lower than
430,0.9067933797052093,0.7890020504727774,True,Higher than
432,0.9276656547327098,0.9237128107335454,True,Higher than
433,0.9287652712917334,0.787619162829058,True,Higher than
434,0.8843404338242723,0.7702326615903254,True,Higher than
436,0.8218610740460365,0.7807330712510118,True,Higher than
437,0.9013341018185886,0.8994881027299335,False,Equal
438,0.5482996691328997,0.9066452084134446,True,Lower than
442,0.9183163043161335,0.9192651132944636,False,Equal
444,0.8342685227498389,0.8452418910587091,True,Lower than
447,0.9574186152400307,0.9061490739128699,True,Higher than
450,0.8836139004775205,0.8302303794813005,True,Higher than
452,0.9161016328330839,0.74967071283832,True,Higher than
453,0.9116862536381835,0.748859594799858,True,Higher than
456,0.79171637513071,0.7500140914100187,True,Higher than
457,0.9568045654948507,0.842073654365526,True,Higher than
