,0,1,2,3,4
"('True', '11.33%')",0.9565217391304348,0.9557522123893806,0.9646017699115044,0.9615384615384616,0.9739130434782609
"('True', '16.33%')",0.9662162162162162,0.972972972972973,0.9575757575757575,0.9709302325581395,0.9662162162162162
"('True', '21.33%')",0.9728506787330317,0.9754901960784313,0.9726027397260274,0.9530516431924883,0.9760765550239234
"('True', '26.33%')",0.9849624060150376,0.9607843137254902,0.9646643109540636,0.9806949806949807,0.9645390070921985
"('True', '31.33%')",0.9665653495440729,0.9616438356164384,0.9728915662650602,0.9529411764705882,0.9558823529411765
"('True', '36.33%')",0.9658119658119658,0.9658119658119658,0.9438202247191011,0.9602649006622517,0.9580573951434879
"('False', '11.33%')",0.043478260869565216,0.035398230088495575,0.035398230088495575,0.038461538461538464,0.02608695652173913
"('False', '16.33%')",0.02027027027027027,0.013513513513513514,0.030303030303030304,0.023255813953488372,0.033783783783783786
"('False', '21.33%')",0.013574660633484163,0.014705882352941176,0.0228310502283105,0.04225352112676056,0.014354066985645933
"('False', '26.33%')",0.007518796992481203,0.02287581699346405,0.0176678445229682,0.011583011583011582,0.02127659574468085
"('False', '31.33%')",0.02735562310030395,0.024657534246575342,0.018072289156626505,0.026470588235294117,0.023529411764705882
"('False', '36.33%')",0.017094017094017096,0.014957264957264958,0.024719101123595506,0.02207505518763797,0.024282560706401765
"('Unknown', '11.33%')",0.0,0.008849557522123894,0.0,0.0,0.0
"('Unknown', '16.33%')",0.013513513513513514,0.013513513513513514,0.012121212121212121,0.005813953488372093,0.0
"('Unknown', '21.33%')",0.013574660633484163,0.00980392156862745,0.0045662100456621,0.004694835680751174,0.009569377990430622
"('Unknown', '26.33%')",0.007518796992481203,0.016339869281045753,0.0176678445229682,0.007722007722007722,0.014184397163120567
"('Unknown', '31.33%')",0.0060790273556231,0.0136986301369863,0.009036144578313253,0.020588235294117647,0.020588235294117647
"('Unknown', '36.33%')",0.017094017094017096,0.019230769230769232,0.03146067415730337,0.017660044150110375,0.017660044150110375
