Peers Value,Line Value (A)
0.8154744728104527,0.7888285295466622
0.7645065240107413,0.7888285295466622
0.7254876816901275,0.7888285295466622
0.7556478841592823,0.7888285295466622
0.7522567755775401,0.7888285295466622
0.7643658590775079,0.7888285295466622
0.8023268379087408,0.7888285295466622
0.7566597834985852,0.7888285295466622
0.7653722064710712,0.7888285295466622
0.8140573588946173,0.7888285295466622
0.8051975128008223,0.7888285295466622
0.8451447950026926,0.7888285295466622
0.8231100532152066,0.7888285295466622
0.7709750037665556,0.7888285295466622
0.7918879001655185,0.7888285295466622
0.8107039151236323,0.7888285295466622
0.8038590134428527,0.7888285295466622
0.773919860233042,0.7888285295466622
0.81736637381161,0.7888285295466622
0.7712926953739127,0.7888285295466622
0.7806392222971077,0.7888285295466622
0.7900887539247771,0.7888285295466622
0.7611963036092245,0.7888285295466622
0.7951801965499804,0.7888285295466622
0.7844570545431746,0.7888285295466622
0.7974330842334024,0.7888285295466622
0.8278769739005906,0.7888285295466622
0.7765966017424156,0.7888285295466622
0.787671918884435,0.7888285295466622
0.8176074413683077,0.7888285295466622
0.7493162444409825,0.7888285295466622
0.763146085886249,0.7888285295466622
0.8161693258178766,0.7888285295466622
0.7916846354272503,0.7888285295466622
0.8273779019525414,0.7888285295466622
0.8330010389472638,0.7888285295466622
0.7990192387884468,0.7888285295466622
0.785503053019449,0.7888285295466622
0.8116029612082453,0.7888285295466622
0.7720889824733921,0.7888285295466622
0.7950711461712918,0.7888285295466622
0.7779202908700701,0.7888285295466622
0.7552168094114806,0.7888285295466622
0.7567290933070079,0.7888285295466622
0.796122373894336,0.7888285295466622
0.772699883336761,0.7888285295466622
0.780834058271452,0.7888285295466622
0.8277442509386771,0.7888285295466622
0.7684460187494397,0.7888285295466622
0.7998313553841714,0.7888285295466622
0.7251062087422324,0.7888285295466622
0.7538735329713677,0.7888285295466622
0.7790069766740241,0.7888285295466622
0.7864489379563725,0.7888285295466622
0.8062162728824376,0.7888285295466622
0.7447751326989892,0.7888285295466622
0.8086764106421029,0.7888285295466622
0.7921936402472488,0.7888285295466622
0.8208267782168328,0.7888285295466622
0.7928598882018077,0.7888285295466622
0.7537764248292725,0.7888285295466622
0.7173867246970641,0.7888285295466622
0.7787374681173281,0.7888285295466622
0.7946915396604901,0.7888285295466622
0.7379866345234791,0.7888285295466622
0.7607736717201967,0.7888285295466622
0.8226560765816072,0.7888285295466622
0.7366023872813039,0.7888285295466622
0.7527860049751343,0.7888285295466622
0.7212593250331474,0.7888285295466622
0.7877648714244104,0.7888285295466622
0.7919150481607613,0.7888285295466622
0.7564921727767278,0.7888285295466622
0.8204600329174488,0.7888285295466622
0.7202666291120305,0.7888285295466622
0.8219868929898227,0.7888285295466622
0.7809970179932543,0.7888285295466622
0.7847961796558143,0.7888285295466622
0.7996011931101106,0.7888285295466622
0.7315383067995745,0.7888285295466622
0.789763220712653,0.7888285295466622
0.7626304890364324,0.7888285295466622
0.810418758317486,0.7888285295466622
0.799016076696413,0.7888285295466622
0.7822550994639813,0.7888285295466622
0.7222156958589707,0.7888285295466622
0.7013661119703861,0.7888285295466622
0.783288129300441,0.7888285295466622
0.8274831087218373,0.7888285295466622
0.7412539134723407,0.7888285295466622
0.8048043878824084,0.7888285295466622
0.7865659744723664,0.7888285295466622
0.7434529688227103,0.7888285295466622
0.7881452585730359,0.7888285295466622
0.6855647384029092,0.7888285295466622
0.792229644661901,0.7888285295466622
0.7764573438816814,0.7888285295466622
0.8405031270261131,0.7888285295466622
0.7862716399788753,0.7888285295466622
0.7225171551100626,0.7888285295466622
