Treatment Index,Protected Pr(Y=1),Matched Mean Pr(Y=1),is_significant,comparison
0,0.547504564972857,0.9295099324320526,True,Lower than
11,0.8727742738651957,0.7424126022187214,True,Higher than
13,0.8063718018745515,0.9233005554033012,True,Lower than
16,0.8059273068621645,0.8589726914635634,True,Lower than
18,0.6632484535776292,0.9120152461686181,True,Lower than
19,0.8467775713470851,0.7677791691006228,True,Higher than
20,0.8756986645748571,0.8935820464540639,True,Lower than
21,0.8752170759826975,0.7424570289438175,True,Higher than
22,0.7945973341024213,0.922751544584625,True,Lower than
28,0.8704994887573257,0.911664983004838,True,Lower than
29,0.7723263709425098,0.856537248881864,True,Lower than
31,0.9651150975502836,0.8125643244541991,True,Higher than
35,0.9406359636740124,0.8857791380150851,True,Higher than
36,0.8459880690619258,0.7553683260813763,True,Higher than
38,0.9491474601723029,0.7352497499671337,True,Higher than
41,0.7820137927777857,0.8621752542235932,True,Lower than
43,0.7283566467382786,0.8664453021631511,True,Lower than
44,0.7064579397547704,0.8568259890080854,True,Lower than
49,0.7559856504611263,0.8752184753201041,True,Lower than
50,0.3872770290823203,0.9331125012729822,True,Lower than
52,0.8460143679988987,0.9038967352155204,True,Lower than
53,0.5133729659823434,0.9179119996411121,True,Lower than
54,0.8848076913467379,0.762222036731632,True,Higher than
56,0.6988757712208606,0.8439353234685896,True,Lower than
57,0.8199620870583829,0.8370463680302214,True,Lower than
58,0.8819800450534148,0.9097201234503909,True,Lower than
61,0.9193282336229598,0.7581200962703696,True,Higher than
63,0.6756431027897175,0.8237740999345178,True,Lower than
68,0.6310448931334072,0.8354690328259646,True,Lower than
70,0.9044090808646431,0.9280616726951085,True,Lower than
71,0.9080362280723133,0.7501877390578673,True,Higher than
75,0.6792372487002704,0.9067167256108821,True,Lower than
79,0.801070190951834,0.8091777087121601,True,Lower than
81,0.794525576405602,0.7622248449318697,True,Higher than
82,0.8241108031639947,0.7628018892298194,True,Higher than
83,0.7784161236239665,0.8342802394739024,True,Lower than
84,0.7324131026364695,0.9231101164207121,True,Lower than
85,0.871962014630959,0.8254267698390712,True,Higher than
86,0.822053176642477,0.7555481281554944,True,Higher than
87,0.7847195823315937,0.7586036014817588,True,Higher than
88,0.7888285295466622,0.7805654603033974,True,Higher than
89,0.7654897609138692,0.8210007642177959,True,Lower than
90,0.7960200136703305,0.7702757554046219,True,Higher than
91,0.7875236349910676,0.7353310445076765,True,Higher than
