treatment_index,protected Pr(Y=1),matched mean Pr(Y=1),mean_diff,p_value,color,is_selected
11,0.8727742738651957,0.7424126022187214,-0.13036167164647428,8.399664072303251e-66,#FF6100,No
21,0.8752170759826975,0.7424570289438175,-0.13276004703888,1.413487194592427e-61,#FF6100,No
31,0.9651150975502836,0.8125643244541991,-0.15255077309608445,5.990141329149019e-80,#FF6100,No
36,0.8459880690619258,0.7553683260813763,-0.09061974298054953,1.8562603837350584e-45,#FF6100,No
38,0.9491474601723029,0.7352497499671337,-0.21389771020516923,4.2370215999774785e-88,#FF6100,No
54,0.8848076913467379,0.762222036731632,-0.12258565461510584,1.6026655743097446e-64,#FF6100,No
61,0.9193282336229598,0.7581200962703696,-0.1612081373525902,5.390525199403883e-75,#FF6100,No
71,0.9080362280723133,0.7501877390578673,-0.15784848901444604,2.769418803991866e-72,#FF6100,No
93,0.9624287356941941,0.7596503325713101,-0.20277840312288398,2.966907656288886e-90,#FF6100,No
97,0.9104324417107763,0.7459578833354189,-0.1644745583753574,7.635722685297094e-71,#FF6100,No
116,0.8705159436821612,0.771401989110871,-0.09911395457129024,1.624999694034761e-57,#FF6100,No
117,0.9404112218340202,0.7476094030126942,-0.19280181882132597,3.481205323525838e-82,#FF6100,No
119,0.9558680718277895,0.7828538063803184,-0.17301426544747112,5.618377555260162e-81,#FF6100,No
120,0.87222933320464,0.7677203064348607,-0.10450902676977936,3.9696213722705676e-56,#FF6100,No
122,0.9353880728312968,0.777117294345642,-0.15827077848565474,2.076686385457875e-73,#FF6100,No
140,0.8776313359768285,0.7469638971713565,-0.13066743880547205,5.929556316273221e-61,#FF6100,No
142,0.9684524612033845,0.8295356534207969,-0.13891680778258753,1.5810188919554197e-79,#FF6100,No
150,0.8927992301891304,0.7818099566573045,-0.11098927353182597,6.905963440692879e-67,#FF6100,No
156,0.8876995907302394,0.7604629443325518,-0.1272366463976876,4.737199716566907e-65,#FF6100,No
157,0.9077536708675122,0.7316297761776677,-0.17612389468984457,7.477508696638638e-76,#FF6100,No
160,0.8906612953027409,0.7639099317253297,-0.12675136357741112,8.695574033630731e-68,#FF6100,No
164,0.8776313359768285,0.7485571284186231,-0.12907420755820542,4.5818595279807776e-65,#FF6100,No
167,0.9070914914322871,0.7404600949437432,-0.16663139648854386,3.7853749941780035e-75,#FF6100,No
168,0.8996145109241263,0.7476457359148903,-0.151968775009236,2.9400922208860396e-69,#FF6100,No
169,0.8478729589553872,0.7274660335135917,-0.12040692544179543,6.798531909973757e-62,#FF6100,No
173,0.9140206943682182,0.8055189093948947,-0.10850178497332352,1.044952268724501e-64,#FF6100,No
174,0.8733365266912417,0.7469640278049725,-0.12637249888626922,3.7522300023343565e-61,#FF6100,No
201,0.9112693408604686,0.7509733526654856,-0.16029598819498303,5.028416986561121e-74,#FF6100,No
220,0.8983005620878588,0.7231522835633588,-0.1751482785245,4.658867644031005e-86,#FF6100,No
224,0.9059619561494917,0.7440829733772438,-0.16187898277224788,2.718855273154801e-72,#FF6100,No
231,0.955275335995393,0.75451760087615,-0.200757735119243,1.0017133475642668e-83,#FF6100,No
234,0.8945804217592731,0.7549138233759644,-0.13966659838330875,5.917502517409874e-76,#FF6100,No
244,0.9227239028518213,0.8196324659801079,-0.1030914368717134,1.0158348297631078e-67,#FF6100,No
246,0.9700622607823809,0.7717755892980823,-0.19828667148429857,1.3568298693451062e-81,#FF6100,No
247,0.9709510851722029,0.8293195640763322,-0.14163152109587063,8.84431223012397e-87,#FF6100,No
261,0.8504380627357327,0.7639516539422256,-0.08648640879350711,2.4192062137929737e-49,#FF6100,No
262,0.8718780550339724,0.7558566848468032,-0.11602137018716918,2.7092866412606924e-61,#FF6100,No
266,0.8846298523323726,0.7220971692362478,-0.16253268309612479,3.6247157354471476e-75,#FF6100,No
270,0.9616988166476196,0.7180754799454945,-0.2436233367021251,1.0322154935899178e-91,#FF6100,No
271,0.8216980818175442,0.7221885401021345,-0.09950954171540971,5.604469045829707e-53,#FF6100,No
272,0.8689332862355849,0.7489009089710602,-0.12003237726452465,2.1237011409896205e-56,#FF6100,No
276,0.96597784104946,0.73989179116821,-0.22608604988125003,6.298512607270969e-89,#FF6100,No
280,0.8180797449663569,0.7353900612023413,-0.08268968376401564,2.405783266116655e-43,#FF6100,No
287,0.8778756522360702,0.7585796874546162,-0.11929596478145399,5.391733208969436e-60,#FF6100,No
292,0.8558398435446963,0.749416405964594,-0.10642343758010231,8.895237363364498e-55,#FF6100,No
296,0.9260715051500085,0.7453601455801534,-0.18071135956985507,1.0666327619635673e-75,#FF6100,No
305,0.8563744819564284,0.7413495833957886,-0.1150248985606398,1.6634793363801994e-58,#FF6100,No
306,0.9086538135854476,0.7800957357703937,-0.1285580778150539,2.7656424859814703e-66,#FF6100,No
312,0.8473922984856971,0.7558220066687017,-0.09157029181699539,4.332233997033784e-52,#FF6100,No
313,0.8888407515123202,0.7663370014836854,-0.12250375002863478,8.348147190215484e-70,#FF6100,No
316,0.9483339686998411,0.7285796721028034,-0.2197542965970377,1.113845601966729e-86,#FF6100,No
331,0.9103237320558589,0.7278691916402888,-0.18245454041557008,1.0525248243704384e-80,#FF6100,No
332,0.8973925421745481,0.7710358025820112,-0.1263567395925369,3.0014303265358158e-65,#FF6100,No
333,0.889294199031925,0.746960865033778,-0.14233333399814696,5.142822995598297e-67,#FF6100,No
338,0.926250658781625,0.762132176872617,-0.16411848190900802,3.2777730585825206e-77,#FF6100,No
341,0.8919921112350538,0.74416732953366,-0.1478247817013938,1.7615220484135497e-66,#FF6100,No
345,0.911350027810935,0.8159007502309599,-0.09544927757997512,1.992879935348978e-62,#FF6100,No
346,0.9198865981913683,0.7226858701399693,-0.197200728051399,3.466715129232571e-80,#FF6100,No
351,0.926392533338413,0.7569389708760919,-0.16945356246232113,1.0339175780461856e-77,#FF6100,No
358,0.9204366873630954,0.7539808703120857,-0.16645581705100965,9.115094907609525e-75,#FF6100,No
361,0.914030094163006,0.7466250831853452,-0.1674050109776608,1.1823402976938651e-71,#FF6100,No
363,0.8498154688816983,0.7532115143282112,-0.09660395455348714,9.320249914664056e-51,#FF6100,No
367,0.9076714990180145,0.728123824407148,-0.17954767461086651,6.6873223934826865e-77,#FF6100,No
368,0.8816156916659361,0.7616667155163506,-0.11994897614958555,1.5181085510520434e-62,#FF6100,No
373,0.9439791288261067,0.7589262368391636,-0.18505289198694308,3.410325957414888e-78,#FF6100,No
375,0.9598653481614517,0.7328109286997467,-0.22705441946170501,5.139578806500082e-90,#FF6100,No
377,0.9108708495374738,0.746521587237225,-0.16434926230024882,2.129527615334746e-69,#FF6100,No
383,0.8498154688816983,0.7589072831161601,-0.09090818576553827,2.2885278442992847e-50,#FF6100,No
387,0.9408918538565904,0.8132215341628489,-0.12767031969374143,1.675692568841087e-72,#FF6100,No
388,0.9561440962809883,0.7891945221057658,-0.1669495741752225,7.6219151816636525e-81,#FF6100,No
400,0.9005840867806069,0.7933423592643334,-0.10724172751627348,6.070280084177501e-68,#FF6100,No
422,0.9290878869998868,0.7821125973455704,-0.1469752896543164,6.849280110704543e-69,#FF6100,No
430,0.9067933797052093,0.7900205941934628,-0.11677278551174652,1.1383614183782195e-62,#FF6100,No
433,0.9287652712917334,0.7814664444647998,-0.14729882682693352,2.4266658069725643e-75,#FF6100,No
434,0.8843404338242723,0.7730103234266426,-0.11133011039762974,4.0301329360694554e-59,#FF6100,No
452,0.9161016328330839,0.7480792256847542,-0.16802240714832972,1.2280018685179522e-72,#FF6100,No
453,0.9116862536381835,0.7444917251157414,-0.1671945285224421,7.776783144282427e-73,#FF6100,No
457,0.9568045654948507,0.8433734492068349,-0.11343111628801583,9.968701238831186e-84,#FF6100,No
459,0.8530108356616608,0.7500225691286394,-0.1029882665330214,8.246796976046848e-58,#FF6100,No
466,0.9159378426579157,0.751032809804042,-0.1649050328538737,7.485260315840966e-78,#FF6100,No
468,0.8815260080148495,0.7484614509422522,-0.13306455707259723,2.32249250091617e-66,#FF6100,No
469,0.8838828230967712,0.7423965409902759,-0.1414862821064954,5.6264629522764875e-64,#FF6100,No
471,0.8663205765862578,0.7548786615340015,-0.11144191505225631,3.180299541274163e-54,#FF6100,No
475,0.8989016730187164,0.7327630435182263,-0.16613862950049008,1.4051316643487902e-81,#FF6100,No
478,0.9463036452248755,0.725308184530733,-0.22099546069414255,1.2455415380661335e-92,#FF6100,No
487,0.8897188095196744,0.7400757510103544,-0.14964305850932003,2.800127293323029e-72,#FF6100,No
488,0.9186268986882449,0.7937687880998436,-0.12485811058840124,5.0107253632480356e-73,#FF6100,No
490,0.9670937327760147,0.8300833741438395,-0.13701035863217526,2.4130845110134204e-85,#FF6100,No
496,0.8672374524596882,0.7522473563306938,-0.11499009612899436,3.173587742046334e-59,#FF6100,No
517,0.8938017722495507,0.7860596035492086,-0.10774216870034214,2.919595112390121e-61,#FF6100,No
519,0.9321033088192442,0.7250511597022279,-0.2070521491170163,1.500124254325325e-90,#FF6100,No
524,0.9280826302442641,0.7504395033173874,-0.17764312692687667,2.955634339462707e-79,#FF6100,No
535,0.9507850332348579,0.743077746807963,-0.20770728642689484,4.129173491018393e-83,#FF6100,No
539,0.9461700055591017,0.7443377626379885,-0.20183224292111324,3.4092152879947016e-80,#FF6100,No
556,0.8784078389877545,0.7134204908906253,-0.16498734809712923,7.526621935039074e-83,#FF6100,No
557,0.9297266464498947,0.7477511043082241,-0.18197554214167055,1.6283790651763593e-77,#FF6100,No
566,0.9231179718574538,0.7607143569865213,-0.16240361487093247,5.896754876270783e-72,#FF6100,No
569,0.943918313856871,0.7228692829167989,-0.2210490309400721,9.751291496528884e-90,#FF6100,No
597,0.9246937520039549,0.7844196551703582,-0.1402740968335967,7.106851995184138e-75,#FF6100,No
618,0.8982725918784774,0.7578465408424594,-0.14042605103601802,8.67971306059678e-63,#FF6100,No
626,0.9690954165264855,0.788158874384323,-0.18093654214216248,3.1513294860601873e-85,#FF6100,No
629,0.9307831941651341,0.7607779133238146,-0.1700052808413195,9.76793663579485e-78,#FF6100,No
630,0.9195034096528413,0.7455798316403373,-0.17392357801250402,4.0899350322195226e-78,#FF6100,No
631,0.8742792838506119,0.7781927936524131,-0.09608649019819882,1.3357301523774375e-53,#FF6100,No
634,0.946519417169621,0.8492415983343196,-0.0972778188353014,2.8715351040041233e-69,#FF6100,No
635,0.9729236292937572,0.8542884867983146,-0.1186351424954426,9.798813098212236e-82,#FF6100,No
639,0.9507955890207389,0.7267589173616321,-0.2240366716591068,4.2755401577982465e-87,#FF6100,No
646,0.923604919517364,0.7278317216479147,-0.19577319786944936,2.859279015401626e-82,#FF6100,No
655,0.9255025061198898,0.7440309659680873,-0.18147154015180256,5.767512243837911e-77,#FF6100,No
656,0.8859843132162432,0.7589631301619599,-0.12702118305428323,4.536217875397917e-62,#FF6100,No
658,0.9466048599864948,0.7192332694931244,-0.2273715904933704,1.9099255536910473e-90,#FF6100,No
660,0.8829670296681839,0.7570004314908932,-0.1259665981772906,3.1195120480693046e-59,#FF6100,No
661,0.9131649121346962,0.7543554320412669,-0.15880948009342932,1.3206913137265682e-71,#FF6100,No
663,0.919773622906246,0.7506016211108553,-0.16917200179539071,1.6367132274761832e-78,#FF6100,No
664,0.8993882879054603,0.7405403774230689,-0.15884791048239144,2.2431320072290262e-65,#FF6100,No
666,0.9090943085988504,0.722364084675259,-0.1867302239235914,1.426119684468975e-76,#FF6100,No
671,0.8975856491738565,0.7921505896467355,-0.10543505952712107,3.6105797604578384e-61,#FF6100,No
673,0.8482256080884375,0.7486328740066255,-0.09959273408181202,8.788796231823371e-56,#FF6100,No
683,0.9480962674782298,0.7943161488493615,-0.1537801186288683,4.1337862161615075e-83,#FF6100,No
699,0.8905719861218553,0.7476138801986779,-0.14295810592317737,2.3631460802416803e-69,#FF6100,No
701,0.8912084747463714,0.7561768600894454,-0.13503161465692604,2.6550245453043543e-62,#FF6100,No
702,0.9347650255589004,0.7235420362193439,-0.21122298933955652,5.0679927814385134e-86,#FF6100,No
709,0.8797537546313874,0.7624389915412242,-0.1173147630901632,4.713960696639122e-59,#FF6100,No
714,0.9599623787082316,0.7327443397596347,-0.22721803894859693,2.3417755122709763e-94,#FF6100,No
716,0.8696086907043566,0.7758264915031383,-0.09378219920121833,4.6942925432977905e-55,#FF6100,No
717,0.9397873857232144,0.7318780977087701,-0.2079092880144443,6.764353035548248e-93,#FF6100,No
721,0.9651150975502836,0.8123385239168129,-0.15277657363347064,1.1679944584604426e-84,#FF6100,No
724,0.9202890765423433,0.8045058784925917,-0.11578319804975157,4.291385063161141e-73,#FF6100,No
740,0.9265906049551268,0.7583397667571624,-0.16825083819796438,1.1767491479185097e-72,#FF6100,No
743,0.8535571866648688,0.7521583436048318,-0.10139884306003699,1.051719117051195e-57,#FF6100,No
745,0.9292314974507393,0.8024704737830589,-0.12676102366768038,3.125800820889599e-70,#FF6100,No
750,0.9779836236133244,0.8696673338918999,-0.10831628972142449,1.1801567245653568e-87,#FF6100,No
753,0.8789586836526819,0.7436349164089517,-0.1353237672437302,4.218455561521418e-64,#FF6100,No
762,0.9279027122893182,0.8002291894810517,-0.1276735228082665,4.884560674085917e-70,#FF6100,No
763,0.9661655150521942,0.8083562496657478,-0.15780926538644635,1.1064245312997326e-83,#FF6100,No
768,0.9270681099431903,0.7609860154559357,-0.16608209448725464,6.596011803008605e-76,#FF6100,No
772,0.8880228541073966,0.7599481016612306,-0.12807475244616595,2.480701280519175e-64,#FF6100,No
774,0.8557415792713126,0.7546960065332585,-0.10104557273805403,1.409832503555895e-50,#FF6100,No
775,0.9106275556381794,0.8183491973701679,-0.09227835826801156,3.5234158938723002e-62,#FF6100,No
776,0.9288095289510396,0.7226798115405118,-0.20612971741052788,2.289983146448777e-84,#FF6100,No
778,0.9693199309629476,0.8568646484041957,-0.11245528255875181,1.999046344150073e-77,#FF6100,No
779,0.907150719045037,0.7446536682198291,-0.16249705082520782,7.000065230513944e-73,#FF6100,No
798,0.9510033615463068,0.740182908173487,-0.21082045337281985,5.685243704209915e-81,#FF6100,No
