treatment_index,protected Pr(Y=1),matched mean Pr(Y=1),mean_diff,p_value,color,is_selected
16,0.8059273068621645,0.8589726914635634,0.05304538460139885,2.0314781846386114e-53,#B02425,No
20,0.8756986645748571,0.8935820464540639,0.017883381879206794,5.167953223876228e-21,#B02425,No
28,0.8704994887573257,0.911664983004838,0.04116549424751226,3.666426490936612e-70,#B02425,No
52,0.8460143679988987,0.9038967352155204,0.057882367216621655,4.864416183612313e-70,#B02425,No
57,0.8199620870583829,0.8370463680302214,0.01708428097183845,9.293610180415876e-12,#B02425,No
58,0.8819800450534148,0.9097201234503909,0.02774007839697612,1.752768009805361e-50,#B02425,No
70,0.9044090808646431,0.9280616726951085,0.02365259183046542,5.6969055786198344e-55,#B02425,No
79,0.801070190951834,0.8091777087121601,0.008107517760326144,0.0004892364850660465,#B02425,No
83,0.7784161236239665,0.8342802394739024,0.05586411584993589,3.6062466899022547e-50,#B02425,No
89,0.7654897609138692,0.8210007642177959,0.055511003303926665,2.3953376672683265e-48,#B02425,No
105,0.8586910629949095,0.9013765938136616,0.04268553081875215,2.297488640852799e-50,#B02425,No
131,0.7994840733749095,0.8276124630386681,0.028128389663758635,2.786201104974095e-27,#B02425,No
141,0.9295730900339794,0.9404398356822735,0.010866745648294152,3.784014215272636e-49,#B02425,No
146,0.7217636966510526,0.7866567956377054,0.06489309898665285,9.762160370932743e-40,#B02425,No
151,0.8430808845396957,0.9009642422076267,0.05788335766793107,6.900430151464882e-70,#B02425,No
159,0.8881098789047011,0.8942928029973083,0.006182924092607234,9.669696984427165e-06,#B02425,No
196,0.7739673422257248,0.7908162580397815,0.016848915814056675,1.6891855932594763e-09,#B02425,No
204,0.8337813614572438,0.8955921064837783,0.0618107450265345,2.8307833603377295e-70,#B02425,No
250,0.782359134717668,0.7926614844401704,0.010302349722502324,0.00013480020356691457,#B02425,No
252,0.8370831582427586,0.8892539675616448,0.05217080931888618,1.4307973597426471e-58,#B02425,No
259,0.8422724742768865,0.8808233904890986,0.03855091621221218,1.981016846149688e-42,#B02425,No
260,0.7773814344536172,0.7889025174509732,0.011521082997355991,4.6471875569698895e-06,#B02425,No
263,0.7924225266958119,0.8213917762805677,0.028969249584755774,2.2179829063345875e-23,#B02425,No
265,0.812529495345302,0.8643759018481432,0.051846406502841114,3.2172634843093157e-52,#B02425,No
269,0.759875521334236,0.7845144130734066,0.024638891739170665,7.863582331631428e-15,#B02425,No
273,0.7619341299225567,0.828969861318564,0.06703573139600727,1.962641369354357e-49,#B02425,No
298,0.8471224968023134,0.9241477516792148,0.07702525487690137,1.5361810773635027e-96,#B02425,No
308,0.8784573861336492,0.8920964596020816,0.013639073468432406,2.5041030765836047e-14,#B02425,No
311,0.9286942904114975,0.9370266592961336,0.008332368884636066,2.438913765879855e-37,#B02425,No
314,0.7873243998443561,0.8046468090376834,0.01732240919332728,5.802398089791177e-12,#B02425,No
318,0.8819800450534148,0.9121666131509386,0.030186568097523847,4.402536652968491e-56,#B02425,No
319,0.9241379891884036,0.9396030367902847,0.015465047601881055,3.3277236768586717e-66,#B02425,No
335,0.8638066274800679,0.8941249067920678,0.03031827931199993,4.0491435343079865e-42,#B02425,No
337,0.8404032337090497,0.8971096493679198,0.056706415658870135,2.9684100846103407e-64,#B02425,No
355,0.8946808668350144,0.89812880343233,0.0034479365973156817,0.013271472840994742,#B02425,No
380,0.8391224395675942,0.897131664829788,0.058009225262193764,2.406189902048219e-66,#B02425,No
399,0.803445194728332,0.8221804911228584,0.018735296394526424,9.460869025058408e-15,#B02425,No
405,0.7199705436642043,0.7455986272503486,0.025628083586144323,3.303744541873674e-13,#B02425,No
411,0.8627341832771769,0.8805926728720296,0.0178584895948527,4.037619051831602e-25,#B02425,No
416,0.8852680683810997,0.9328028833046421,0.04753481492354239,1.976087571271055e-93,#B02425,No
417,0.780804674896076,0.7970098503377301,0.01620517544165412,6.598819642256971e-09,#B02425,No
421,0.8025900784034647,0.8273334788660948,0.024743400462630016,3.2941921800633837e-19,#B02425,No
428,0.8768396783238638,0.9020827711942371,0.025243092870373296,1.0494662423876356e-40,#B02425,No
444,0.8342685227498389,0.8401262438194211,0.005857721069582267,0.0029694302120821425,#B02425,No
465,0.7887555628959271,0.8322218153446194,0.04346625244869229,5.623560563143767e-42,#B02425,No
486,0.8234748287115449,0.8968920524210503,0.07341722370950543,5.2103224885769645e-71,#B02425,No
500,0.8458795470661092,0.9127750784769745,0.06689553141086524,1.8985106113641398e-89,#B02425,No
508,0.9263280797982029,0.938503677745744,0.012175597947541084,1.0836258233600834e-48,#B02425,No
514,0.8432244325286431,0.8932962100580102,0.05007177752936709,4.886058118179146e-59,#B02425,No
531,0.8539635217961803,0.9160790051304475,0.062115483334267196,1.5484411249381007e-87,#B02425,No
532,0.9208805095368806,0.9223674543203475,0.0014869447834668925,0.03835615230977852,#B02425,No
549,0.877566721063035,0.8957267754168238,0.018160054353788757,9.315681325521988e-25,#B02425,No
553,0.7653341155392319,0.795995081983292,0.030660966444060134,7.302427360867991e-19,#B02425,No
559,0.8158273404760944,0.8775914615956605,0.061764121119566084,1.4212257770269471e-63,#B02425,No
574,0.7466070326136052,0.8164776658040325,0.0698706331904273,1.098077649055799e-51,#B02425,No
611,0.7625487055967252,0.8103560311386344,0.04780732554190925,1.739979968344844e-35,#B02425,No
615,0.9346411265238569,0.9377742396217595,0.003133113097902651,6.427819371862243e-11,#B02425,No
617,0.9044653813512626,0.9371230533295837,0.032657671978321035,3.244283033405823e-96,#B02425,No
647,0.7828562396782207,0.8150020333862797,0.032145793708059034,1.3280355526859564e-22,#B02425,No
680,0.8703531760900693,0.9121507800015459,0.04179760391147658,3.6501826381471993e-69,#B02425,No
696,0.914892864730505,0.9236682777632743,0.008775413032769297,6.645712050244379e-19,#B02425,No
715,0.8257206902964066,0.8308084492757943,0.005087758979387735,0.007875419759230987,#B02425,No
719,0.8467610400678031,0.9155580906350693,0.06879705056726626,4.94578237534922e-90,#B02425,No
720,0.8597222357927985,0.9393488973400156,0.07962666154721709,3.8268983416344784e-131,#B02425,No
749,0.8957787981660736,0.9040535886901927,0.008274790524119058,1.21007541284913e-09,#B02425,No
759,0.8024902491233721,0.8339142840651241,0.031424034941752055,5.527925665868036e-29,#B02425,No
760,0.8752059115073285,0.9110079254150708,0.03580201390774229,9.250463359448178e-57,#B02425,No
761,0.8603338092269277,0.8929247728962757,0.032590963669347994,6.189692243473326e-40,#B02425,No
766,0.7854169560523376,0.8372749363545016,0.05185798030216393,1.900728176720834e-41,#B02425,No
773,0.9139041796185237,0.9336616025858367,0.019757422967313087,1.4647748075173374e-57,#B02425,No
782,0.7928293392913768,0.8563673502725152,0.06353801098113843,2.9581450172505055e-53,#B02425,No
788,0.7890474292757743,0.831177280077206,0.04212985080143172,8.533750142614592e-36,#B02425,No
792,0.8448599484125382,0.9026801935868594,0.05782024517432116,2.345088325998925e-69,#B02425,No
797,0.8168671261572746,0.8480797233484338,0.031212597191159208,3.2761832106769014e-31,#B02425,No
